I0001: SCADE Suite UA Adaptor Version 2019 R2a (build 20190702) (c) Esterel Technologies SAS 2012-2018 started at 2019-10-10T09:40:36.
I0005: Command line: uaadaptor.exe -n "C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\a661.xml" -k ..\UserApplication\KCG\kcg_trace.xml -sdy ..\UserApplication\project1.sdy -outdir ..\UserApplication\KCG ..\DefinitionFile\project1.sgfx
I0006: Generated file: <log> : ..\UserApplication\KCG\uaadaptor.log
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\BufferFormat.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\Connector.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\CursorRef.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\DataConnector.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\DataScalingLong.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\DataScalingULong.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\DataScalingFR180.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\ExternalSource.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\FocusIn.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\FocusOut.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\FocusLink.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\NoServiceMonitor.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\ProxyButton.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\Standard.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\Focus.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\Highlight.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\RectangularSensitiveArea.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\CircularSensitiveArea.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\SetColor.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\SetLineStyle.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\SetFont.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\SetHalo.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\SetRotation.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\SetTranslation.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\StartGroup.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\EndGroup.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\LegendAnchor.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\ArcEllipse.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\ArcCircle.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\Crown.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\Line.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\LinePolar.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\Polyline.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\Rectangle.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\Triangle.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\TriangleFan.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\TriangleStrip.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\Text.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\BoundingRectangle.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\SymbolCommands\BoundingCircle.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\WidgetExtensions\DirectionalTabbingExtension.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\WidgetExtensions\CursorEventsExtension.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\WidgetExtensions\LegendStringAlignmentExtension.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\WidgetExtensions\VisibleChildIndexExtension.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\WidgetExtensions\InitialFocusExtension.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\WidgetExtensions\FocusStopExtension.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\WidgetExtensions\CursorShapeExtension.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\WidgetExtensions\PictureExtension.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\WidgetExtensions\SymbolExtension.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\WidgetExtensions\TicsArrayExtension.xml
I0007: Input file: C:\Program Files\ANSYS Inc\v194\SCADE\SCADE Display\config\a661_description\WidgetExtensions\MultiSelectionExtension.xml
I0007: Input file: <mapping> : ..\UserApplication\project1.sdy
I0007: Input file: ..\DefinitionFile\project1.sgfx
I0007: Input file: <scade: kcg_trace.xml> : ..\UserApplication\KCG\kcg_trace.xml
I0007: Input file: UA Node Name project1
I0007: Input file: Operator Name project1
I0007: Input file: UA Node Name project1
I0007: Input file: Operator Name project1
I0006: Generated file: <.c> : ..\UserApplication\KCG\ua_private.c
I0006: Generated file: <.c> : ..\UserApplication\KCG\ua.c
I0006: Generated file: <.c> : ..\UserApplication\KCG\ua_LAY_1.c
I0006: Generated file: <.h> : ..\UserApplication\KCG\ua_constants.h
I0006: Generated file: <.h> : ..\UserApplication\KCG\ua_private.h
I0006: Generated file: <.h> : ..\UserApplication\KCG\ua.h
I0808: [SUCCESSFUL]
I0006: Generated file: ..\UserApplication\KCG\uaadaptor.log
I0002: SCADE Suite UA Adaptor finished with 0 error(s) at 2019-10-10T09:40:42.
